No.;Time;;Time1;Time2;Delay;;Delay1;Delay2;Jitter
245;140,034734;;140,034734;140,034963;0,000229;;-0,000339;0,000454;0,000793
246;140,034963;;140,034963;140,035531;0,000568;;0,000454;-0,012407;-0,012861
247;140,035531;;140,035531;140,035645;0,000114;;-0,012407;-0,102406;-0,089999
248;140,035645;;140,035645;140,048166;0,012521;;-0,102406;0,11464;0,217046
249;140,048166;;140,048166;140,163093;0,114927;;0,11464;-0,004577;-0,119217
250;140,163093;;140,163093;140,16338;0,000287;;-0,004577;-0,092997;-0,08842
251;140,16338;;140,16338;140,168244;0,004864;;-0,092997;0,095001;0,187998
252;140,168244;;140,168244;140,266105;0,097861;;0,095001;0,002219;-0,092782
253;140,266105;;140,266105;140,268965;0,00286;;0,002219;-0,177109;-0,179328
254;140,268965;;140,268965;140,269606;0,000641;;-0,177109;0,17775;0,354859
255;140,269606;;140,269606;140,447356;0,17775;;0,17775;-0,000171;-0,177921
256;140,447356;;140,447356;140,447356;0;;-0,000171;-6,00E-05;0,000111
257;140,447356;;140,447356;140,447527;0,000171;;-6,00E-05;-0,042228;-0,042168
258;140,447527;;140,447527;140,447758;0,000231;;-0,042228;0,04211;0,084338
259;140,447758;;140,447758;140,490217;0,042459;;0,04211;-0,0105;-0,05261
260;140,490217;;140,490217;140,490566;0,000349;;-0,0105;-0,030799;-0,020299
261;140,490566;;140,490566;140,501415;0,010849;;-0,030799;0,030388;0,061187
262;140,501415;;140,501415;140,543063;0,041648;;0,030388;-0,202561;-0,232949
268;140,543063;;140,543063;140,554323;0,01126;;-0,202561;0,213619;0,41618
269;140,554323;;140,554323;140,768144;0,213821;;0,213619;-0,010105;-0,223724
292;140,768144;;140,768144;140,768346;0,000202;;-0,010105;0,010307;0,020412
293;140,768346;;140,768346;140,778653;0,010307;;0,010307;-0,000149;-0,010456
294;140,778653;;140,778653;140,778653;0;;-0,000149;-4,60E-05;0,000103
295;140,778653;;140,778653;140,778802;0,000149;;-4,60E-05;-0,016514;-0,016468
296;140,778802;;140,778802;140,778997;0,000195;;-0,016514;0,016421;0,032935
297;140,778997;;140,778997;140,795706;0,016709;;0,016421;-3,90E-05;-0,01646
298;140,795706;;140,795706;140,795994;0,000288;;-3,90E-05;9,60E-05;0,000135
299;140,795994;;140,795994;140,796321;0,000327;;9,60E-05;-0,284756;-0,284852
300;140,796321;;140,796321;140,796552;0,000231;;-0,284756;0,275157;0,559913
301;140,796552;;140,796552;141,081539;0,284987;;0,275157;0,00983;-0,265327
302;141,081539;;141,081539;141,091369;0,00983;;0,00983;-0,000189;-0,010019
303;141,091369;;141,091369;141,091369;0;;-0,000189;-0,00012;6,90E-05
304;141,091369;;141,091369;141,091558;0,000189;;-0,00012;-0,043168;-0,043048
305;141,091558;;141,091558;141,091867;0,000309;;-0,043168;-0,810046;-0,766878
306;141,091867;;141,091867;141,135344;0,043477;;-0,810046;0,853131;1,663177
307;141,135344;;141,135344;141,988867;0,853523;;0,853131;0,000392;-0,852739
308;141,988867;;141,988867;141,989259;0,000392;;0,000392;0;-0,000392
309;141,989259;;141,989259;141,989259;0;;0;0;0
310;141,989259;;141,989259;141,989259;0;;0;0;0
311;141,989259;;141,989259;141,989259;0;;0;0;0
312;141,989259;;141,989259;141,989259;0;;0;0;0
313;141,989259;;141,989259;141,989259;0;;0;-0,31105;-0,31105
314;141,989259;;141,989259;141,989259;0;;-0,31105;0,310181;0,621231
315;141,989259;;141,989259;142,300309;0,31105;;0,310181;0,000869;-0,309312
316;142,300309;;142,300309;142,301178;0,000869;;0,000869;0;-0,000869
317;142,301178;;142,301178;142,301178;0;;0;0;0
318;142,301178;;142,301178;142,301178;0;;0;0;0
319;142,301178;;142,301178;142,301178;0;;0;-0,00026;-0,00026
320;142,301178;;142,301178;142,301178;0;;-0,00026;4,40E-05;0,000304
321;142,301178;;142,301178;142,301438;0,00026;;4,40E-05;6,00E-05;1,60E-05
322;142,301438;;142,301438;142,301654;0,000216;;6,00E-05;-0,009742;-0,009802
323;142,301654;;142,301654;142,30181;0,000156;;-0,009742;0,009898;0,01964
324;142,30181;;142,30181;142,311708;0,009898;;0,009898;0;-0,009898
325;142,311708;;142,311708;142,311708;0;;0;0;0
326;142,311708;;142,311708;142,311708;0;;0;0;0
327;142,311708;;142,311708;142,311708;0;;0;0;0
328;142,311708;;142,311708;142,311708;0;;0;-8,10E-05;-8,10E-05
329;142,311708;;142,311708;142,311708;0;;-8,10E-05;2,30E-05;0,000104
330;142,311708;;142,311708;142,311789;8,10E-05;;2,30E-05;5,00E-06;-1,80E-05
331;142,311789;;142,311789;142,311847;5,80E-05;;5,00E-06;2,00E-06;-3,00E-06
332;142,311847;;142,311847;142,3119;5,30E-05;;2,00E-06;-0,001702;-0,001704
333;142,3119;;142,3119;142,311951;5,10E-05;;-0,001702;0,00171;0,003412
334;142,311951;;142,311951;142,313704;0,001753;;0,00171;-0,001943;-0,003653
335;142,313704;;142,313704;142,313747;4,30E-05;;-0,001943;0,00193;0,003873
336;142,313747;;142,313747;142,315733;0,001986;;0,00193;-0,000822;-0,002752
337;142,315733;;142,315733;142,315789;5,60E-05;;-0,000822;0,000787;0,001609
338;142,315789;;142,315789;142,316667;0,000878;;0,000787;-0,001664;-0,002451
339;142,316667;;142,316667;142,316758;9,10E-05;;-0,001664;0,001684;0,003348
340;142,316758;;142,316758;142,318513;0,001755;;0,001684;-0,010677;-0,012361
341;142,318513;;142,318513;142,318584;7,10E-05;;-0,010677;0,010748;0,021425
342;142,318584;;142,318584;142,329332;0,010748;;0,010748;-5,90E-05;-0,010807
343;142,329332;;142,329332;142,329332;0;;-5,90E-05;-5,00E-06;5,40E-05
344;142,329332;;142,329332;142,329391;5,90E-05;;-5,00E-06;-0,000103;-9,80E-05
345;142,329391;;142,329391;142,329455;6,40E-05;;-0,000103;0,000143;0,000246
346;142,329455;;142,329455;142,329622;0,000167;;0,000143;-0,001077;-0,00122
347;142,329622;;142,329622;142,329646;2,40E-05;;-0,001077;0,001101;0,002178
348;142,329646;;142,329646;142,330747;0,001101;;0,001101;-6,10E-05;-0,001162
349;142,330747;;142,330747;142,330747;0;;-6,10E-05;-1,00E-06;6,00E-05
350;142,330747;;142,330747;142,330808;6,10E-05;;-1,00E-06;-0,005275;-0,005274
351;142,330808;;142,330808;142,33087;6,20E-05;;-0,005275;0,005337;0,010612
352;142,33087;;142,33087;142,336207;0,005337;;0,005337;-7,20E-05;-0,005409
353;142,336207;;142,336207;142,336207;0;;-7,20E-05;-2,80E-05;4,40E-05
354;142,336207;;142,336207;142,336279;7,20E-05;;-2,80E-05;-0,167109;-0,167081
355;142,336279;;142,336279;142,336379;0,0001;;-0,167109;0,124728;0,291837
356;142,336379;;142,336379;142,503588;0,167209;;0,124728;-0,004768;-0,129496
